TransactionDate,Amount,DayOfWeek,IsHoliday,IsWeekend
2017-09-18,2802.46,Monday,0,0
2017-09-19,23,Tuesday,0,0
2017-09-20,124.38,Wednesday,0,0
2017-09-21,3265.56,Thursday,0,0
2017-09-22,319.1,Friday,0,0
2017-09-23,1806.07,Saturday,0,1
2017-09-24,5304.53,Sunday,0,1
2017-09-25,38.2,Monday,0,0
2017-09-26,104.9,Tuesday,1,0
2017-09-27,2627.3,Wednesday,0,0
2017-09-28,6313.59,Thursday,0,0
2017-09-29,4733.59,Friday,0,0
2017-09-30,2489.15,Saturday,0,1
2017-10-01,4573.77,Sunday,0,1
2017-10-02,6037.91,Monday,0,0
2017-10-03,4458,Tuesday,0,0
2017-10-04,5526.63,Wednesday,0,0
2017-10-05,5526.66,Thursday,0,0
2017-10-06,6181.96,Friday,0,0
2017-10-07,5393.95,Saturday,0,1
2017-10-08,3863.15,Sunday,0,1
2017-10-09,3782.55,Monday,0,0
2017-10-10,5543.36,Tuesday,0,0
2017-10-11,4994.37,Wednesday,0,0
2017-10-12,5763.08,Thursday,0,0
2017-10-13,5457.19,Friday,0,0
2017-10-14,3487.94,Saturday,0,1
2017-10-15,3648.06,Sunday,0,1
2017-10-16,5913.7,Monday,0,0
2017-10-17,5749.19,Tuesday,0,0
2017-10-18,4965.8,Wednesday,0,0
2017-10-19,5382.56,Thursday,0,0
2017-10-20,4294.11,Friday,0,0
2017-10-21,2098.54,Saturday,0,1
2017-10-22,6737.67,Sunday,0,1
2017-10-23,1911.86,Monday,0,0
2017-10-24,1943.09,Tuesday,0,0
2017-10-25,2021.64,Wednesday,0,0
2017-10-26,2056.76,Thursday,0,0
2017-10-27,1796.4,Friday,0,0
2017-10-28,2442.38,Saturday,0,1
2017-10-29,2041.89,Sunday,0,1
2017-10-30,2790.99,Monday,0,0
2017-10-31,5166.65,Tuesday,0,0
2017-11-01,5548.86,Wednesday,0,0
2017-11-02,5028.76,Thursday,0,0
2017-11-03,5282.98,Friday,0,0
2017-11-04,5081.39,Saturday,0,1
2017-11-05,3081.96,Sunday,0,1
2017-11-06,3465.26,Monday,0,0
2017-11-07,5050.38,Tuesday,0,0
2017-11-08,5605.14,Wednesday,0,0
2017-11-09,5026.02,Thursday,0,0
2017-11-10,5359.97,Friday,0,0
2017-11-11,5402.74,Saturday,0,1
2017-11-12,2963.47,Sunday,0,1
2017-11-13,3115.28,Monday,0,0
2017-11-14,4705.99,Tuesday,0,0
2017-11-15,4777.17,Wednesday,0,0
2017-11-16,4257.49,Thursday,0,0
2017-11-17,4590.06,Friday,0,0
2017-11-18,4310.16,Saturday,0,1
2017-11-19,2080.98,Sunday,0,1
2017-11-20,2695.38,Monday,0,0
2017-11-21,4150.2,Tuesday,0,0
2017-11-22,4457.15,Wednesday,0,0
2017-11-23,4188.87,Thursday,0,0
2017-11-24,4328.27,Friday,0,0
2017-11-25,4032.27,Saturday,0,1
2017-11-26,2215.62,Sunday,0,1
2017-11-27,2879.36,Monday,0,0
2017-11-28,3683.3,Tuesday,0,0
2017-11-29,4069.8,Wednesday,0,0
2017-11-30,3807.15,Thursday,0,0
2017-12-01,3796.52,Friday,0,0
2017-12-02,2206.18,Saturday,0,1
2017-12-03,2059.69,Sunday,0,1
2017-12-04,2407.68,Monday,0,0
2017-12-05,4376.27,Tuesday,0,0
2017-12-06,3985.66,Wednesday,0,0
2017-12-07,3742.97,Thursday,1,0
2017-12-08,4016.35,Friday,0,0
2017-12-09,3183.39,Saturday,0,1
2017-12-10,3351.66,Sunday,0,1
2017-12-11,4113.44,Monday,0,0
2017-12-12,4198.25,Tuesday,0,0
2017-12-13,3702.25,Wednesday,0,0
2017-12-14,3666.82,Thursday,0,0
2017-12-15,3044.26,Friday,0,0
2017-12-16,1954.81,Saturday,0,1
2017-12-17,1158.1,Sunday,0,1
2017-12-18,1432.1,Monday,0,0
2017-12-19,27,Tuesday,0,0
2017-12-20,154,Wednesday,0,0
2017-12-21,231.99,Thursday,0,0
2017-12-22,3217.87,Friday,0,0
2017-12-23,2982.56,Saturday,0,1
2017-12-24,3334.45,Sunday,0,1
2017-12-25,1929.67,Monday,0,0
2017-12-26,1910.28,Tuesday,0,0
2017-12-27,2042.67,Wednesday,0,0
2017-12-28,2218.85,Thursday,0,0
2017-12-29,2612.09,Friday,0,0
2017-12-30,1919.6,Saturday,0,1
2017-12-31,2110.7,Sunday,0,1
2018-01-01,3632.37,Monday,0,0
2018-01-02,3983.81,Tuesday,0,0
2018-01-03,3967.85,Wednesday,0,0
2018-01-04,3904.69,Thursday,0,0
2018-01-05,3853.78,Friday,0,0
2018-01-06,2416.8,Saturday,0,1
2018-01-07,2868.99,Sunday,0,1
2018-01-08,4498.37,Monday,0,0
2018-01-09,4674.4,Tuesday,0,0
2018-01-10,3795,Wednesday,0,0
2018-01-11,1888.42,Thursday,0,0
2018-01-12,3013.96,Friday,0,0
2018-01-13,2254.2,Saturday,0,1
2018-01-14,2527.58,Sunday,0,1
2018-01-15,4032.75,Monday,0,0
2018-01-16,3385.17,Tuesday,0,0
2018-01-17,3405.68,Wednesday,0,0
2018-01-18,3657.65,Thursday,0,0
2018-01-19,3263.75,Friday,0,0
2018-01-20,2025.4,Saturday,0,1
2018-01-21,2554.27,Sunday,0,1
2018-01-22,3709.86,Monday,0,0
2018-01-23,3698.38,Tuesday,0,0
2018-01-24,3715.45,Wednesday,0,0
2018-01-25,4218.79,Thursday,0,0
2018-01-26,2410.23,Friday,0,0
2018-01-27,109.6,Saturday,0,1
2018-01-28,2970.03,Sunday,0,1
2018-01-29,3862.79,Monday,0,0
2018-01-30,3546.6,Tuesday,0,0
2018-01-31,2661.1,Wednesday,0,0
2018-02-01,3743.3,Thursday,0,0
2018-02-02,3280.4,Friday,0,0
2018-02-03,2526.37,Saturday,0,1
2018-02-04,2844.54,Sunday,0,1
2018-02-05,4110.56,Monday,0,0
2018-02-06,4041.63,Tuesday,0,0
2018-02-07,3704.93,Wednesday,0,0
2018-02-08,503.8,Thursday,0,0
2018-02-09,6.2,Saturday,0,1
2018-02-10,1009.7,Sunday,0,1
2018-02-11,630.1,Monday,0,0
2018-02-12,508.5,Tuesday,0,0
2018-02-13,538.4,Wednesday,0,0
2018-02-14,525.3,Thursday,0,0
2018-02-15,575.2,Friday,0,0
